0.002	0.0199799840160128	4.307	1.502	796.13
0.003	0.0199799840160128	4.446	1.516	1282.4
0.003	0.0199799840160128	4.17	2.038	1519.48
0.005	0.0219599824320141	4.981	2.02	2242.85
0.007	0.0239399808480153	4.959	2.292	3118.92
0.01	0.0259199792640166	5.089	2.242	4075.38
0.014	0.0320399743680205	6.201	2.613	5232.78
0.02	0.035999971200023	6.858	3.025	8729.11
0.028	0.0440999647200282	7.933	3.506	10734.46
0.043	0.0599399520480384	10.484	4.13	17566.44
0.064	0.0820799343360525	14.426	4.905	26866.15
0.095	0.112139910288072	19.955	6.65	39039.66
0.142	0.158039873568101	26.433	9.027	52318.75
0.212	0.228059817552146	35.941	12.134	85188.69
0.317	0.334079732736214	52.73	16.363	124601.42
0.475	0.491939606448315	75.093	17.985	197636.46
0.712	0.729899416080467	108.13	32.625	294403.52
1.066	1.08395913283269	158.351	46.867	411040.41
1.6	1.61603870716903	237.038	70.257	586116.29
2.399	2.41613806708955	345.015	96.269	828799.4
3.598	3.61601710718631	521.153	155.952	1133055.04
5.396	5.41205567035546	758.115	207.368	1438400.96
8.093	8.11007351194119	1195.131	346.91	1956773.82
12.139	12.1559302752558	1740.609	522.635	2168742.65
18.208	18.2240854207317	2548.745	697.7	2416200.39
27.311	27.3279381376495	3974.747	1119.68	2829258.9
37.311	37.3280101375919	5167.922	1333.738	3257371.46
47.311	47.3279021376783	6850.278	1791.621	3706193.5
57.311	57.3279741376207	8299.453	2485.212	4129983.93
67.311	67.3278661377071	9452.358	2487.455	4561106.38
77.311	77.3279381376495	10750.358	2754.329	5006859.84
87.311	87.3280101375919	12501.177	3570.592	5424286.44
97.311	97.3280821375343	13775.072	4171.685	5857014.68
